#separator:tab			
[sound:s-0001_同日に会議があります。.mp3]	<b>同日</b> <br> 同日に会議があります。<br> どうじつにかいぎがあります <br>There is a meeting on the same day.
[sound:s-0002_日米間の交流が活発です。.mp3]	<b>日米</b> <br> 日米間の交流が活発です。<br> にちべいかんのこうりゅうがかっぱつです <br>The exchange between Japan and the United States is active.
[sound:s-0003_日本人の文化は豊かです。.mp3]	<b>日本人</b> <br> 日本人の文化は豊かです。<br> にほんじんのぶんかはゆたかです <br>Japanese culture is rich.
[sound:s-0004_毎日新聞を読みます。.mp3]	<b>毎日</b> <br> 毎日新聞を読みます。<br> まいにちしんぶんをよみます <br>I read the newspaper every day.
[sound:s-0005_仕事の前日に準備をします。.mp3]	<b>前日</b> <br> 仕事の前日に準備をします。<br> ぜんじつにしごとのぜんじつにじゅんびをします <br>I prepare the day before work.
[sound:s-0006_彼は全日家で過ごしました。.mp3]	<b>全日</b> <br> 彼は全日家で過ごしました。<br> かれはぜんじついえですごしました <br>He spent the whole day at home.
[sound:s-0007_会議の日程を確認しました。.mp3]	<b>日程</b> <br> 会議の日程を確認しました。<br> かいぎのにっていをかくにんしました <br>I confirmed the schedule for the meeting.
[sound:s-0008_日本語を勉強しています。.mp3]	<b>日本語</b> <br> 日本語を勉強しています。<br> にほんごをべんきょうしています <br>I am studying Japanese.
[sound:s-0009_今日はいい天気ですね。.mp3]	<b>今日</b> <br> 今日はいい天気ですね。<br> きょうはいいてんきですね <br>The weather is nice today.
[sound:s-0010_プレゼントを一つもらいました。.mp3]	<b>一つ</b> <br> プレゼントを一つもらいました。<br> プレゼントをひとつもらいました <br>I received one present.
[sound:s-0011_一月に新しい仕事を始めます。.mp3]	<b>一月</b> <br> 一月に新しい仕事を始めます。<br> いちがつにあたらしいしごとをはじめます <br>I will start a new job in January.
[sound:s-0012_この本は一般の読者向けです。.mp3]	<b>一般</b> <br> この本は一般の読者向けです。<br> このほんはいっぱんのどくしゃむけです <br>This book is for general readers.
[sound:s-0013_彼はいつも一番に到着します。.mp3]	<b>一番</b> <br> 彼はいつも一番に到着します。<br> かれはいつもいちばんにとうちゃくします <br>He always arrives first.
[sound:s-0014_この映画は一部が実話に基づいています。.mp3]	<b>一部</b> <br> この映画は一部が実話に基づいています。<br> このえいがはいちぶがじつわにもとづいています <br>This movie is based on a true story in part.
[sound:s-0015_私たちは一方的な決定をしたくありません。.mp3]	<b>一方</b> <br> 私たちは一方的な決定をしたくありません。<br> わたしたちはいっぽうてきなけっていをしたくありません <br>We don't want to make unilateral decisions.
[sound:s-0016_彼女の誕生日は十一月です。.mp3]	<b>十一</b> <br> 彼女の誕生日は十一月です。<br> かのじょのたんじょうびはじゅういちがつです <br>Her birthday is in November.
[sound:s-0017_十一月は秋の深まる季節です。.mp3]	<b>十一月</b> <br> 十一月は秋の深まる季節です。<br> じゅういちがつはあきのふかまるきせつです <br>November is a season when autumn deepens.
[sound:s-0018_国家の統一を目指しています。.mp3]	<b>統一</b> <br> 国家の統一を目指しています。<br> こっかのとういつをめざしています <br>We aim for national unity.
[sound:s-0019_電車が一時停止しました。.mp3]	<b>一時</b> <br> 電車が一時停止しました。<br> でんしゃがいちじていしした <br>The train stopped temporarily.
[sound:s-0020_日本は美しい国です。.mp3]	<b>国</b> <br> 日本は美しい国です。<br> にほんはうつくしいくにです <br>Japan is a beautiful country.
[sound:s-0021_外国に旅行したいです。.mp3]	<b>外国</b> <br> 外国に旅行したいです。<br> がいこくにりょこうしたいです <br>I want to travel abroad.
[sound:s-0022_外国人と友達になりたいです。.mp3]	<b>外国人</b> <br> 外国人と友達になりたいです。<br> がいこくじんとともだちになりたいです <br>I want to become friends with foreigners.
[sound:s-0023_韓国の文化に興味があります。.mp3]	<b>韓国</b> <br> 韓国の文化に興味があります。<br> かんこくのぶんかにきょうみがあります <br>I am interested in Korean culture.
[sound:s-0024_国家の安全が最優先です。.mp3]	<b>国家</b> <br> 国家の安全が最優先です。<br> こっかのあんぜんがさいゆうせんです <br>National security is the top priority.
[sound:s-0025_国会で法律が制定されました。.mp3]	<b>国会</b> <br> 国会で法律が制定されました。<br> こっかいでほうりつがせいていされました <br>A law was enacted in the Diet.
[sound:s-0026_国際交流イベントに参加しました。.mp3]	<b>国際</b> <br> 国際交流イベントに参加しました。<br> こくさいこうりゅうイベントにさんかしました <br>I participated in an international exchange event.
[sound:s-0027_国内旅行を計画しています。.mp3]	<b>国内</b> <br> 国内旅行を計画しています。<br> こくないりょこうをけいかくしています <br>I am planning a domestic trip.
[sound:s-0028_国民の声を聞かなければなりません。.mp3]	<b>国民</b> <br> 国民の声を聞かなければなりません。<br> こくみんのこえをきかなければなりません <br>We must listen to the voice of the people.
[sound:s-0029_国連の総会が開催されました。.mp3]	<b>国連</b> <br> 国連の総会が開催されました。<br> こくれんのそうかいがかいさいされました <br>The United Nations General Assembly was held.
[sound:s-0030_委員会で議論が行われました。.mp3]	<b>委員会</b> <br> 委員会で議論が行われました。<br> いいんかいでぎろんがおこなわれました <br>Discussion took place in the committee.
[sound:s-0031_彼はクラブの会員です。.mp3]	<b>会員</b> <br> 彼はクラブの会員です。<br> かれはクラブのかいいんです <br>He is a member of the club.
[sound:s-0032_今日の会議は午後からです。.mp3]	<b>会議</b> <br> 今日の会議は午後からです。<br> きょうのかいぎはごごからです <br>Today's meeting is in the afternoon.
[sound:s-0033_首相が会見を行いました。.mp3]	<b>会見</b> <br> 首相が会見を行いました。<br> しゅしょうがかいけんをおこないました <br>The Prime Minister held a press conference.
[sound:s-0034_あの会社は有名です。.mp3]	<b>会社</b> <br> あの会社は有名です。<br> あのかいしゃはゆうめいです <br>That company is famous.
[sound:s-0035_外交官たちは会談を行った。.mp3]	<b>会談</b> <br> 外交官たちは会談を行った。<br> がいこうかんたちはかいだんをおこなった <br>Diplomats held talks.
[sound:s-0036_彼はクラブの会長です。.mp3]	<b>会長</b> <br> 彼はクラブの会長です。<br> かれはクラブのかいちょうです <br>He is the president of the club.
[sound:s-0037_議会で法案が審議されます。.mp3]	<b>議会</b> <br> 議会で法案が審議されます。<br> ぎかいでほうあんがしんぎされます <br>The bill will be deliberated in the parliament.
[sound:s-0038_環境保護協会に参加しました。.mp3]	<b>協会</b> <br> 環境保護協会に参加しました。<br> かんきょうほごきょうかいにさんかしました <br>I participated in the environmental protection association.
[sound:s-0039_国会で法案が可決されました。.mp3]	<b>国会</b> <br> 国会で法案が可決されました。<br> こっかいでほうあんがかけつされました <br>The bill was passed in the National Diet.
[sound:s-0040_外国人と友達になりたいです。.mp3]	<b>外国人</b> <br> 外国人と友達になりたいです。<br> がいこくじんとともだちになりたいです <br>I want to become friends with foreigners.
[sound:s-0041_私の意見は個人的なものです。.mp3]	<b>個人</b> <br> 私の意見は個人的なものです。<br> わたしのいけんはこじんてきなものです <br>My opinion is personal.
[sound:s-0042_三人でレストランに行きました。.mp3]	<b>三人</b> <br> 三人でレストランに行きました。<br> さんにんでレストランにいきました <br>We went to a restaurant with three people.
[sound:s-0043_人間は常に成長します。.mp3]	<b>人間</b> <br> 人間は常に成長します。<br> にんげんはつねにせいちょうします <br>Humans are always growing.
[sound:s-0044_この店はとても人気があります。.mp3]	<b>人気</b> <br> この店はとても人気があります。<br> このみせはとてもにんきがあります <br>This shop is very popular.
[sound:s-0045_この国の人口は1000万人です。.mp3]	<b>人口</b> <br> この国の人口は1000万人です。<br> このくにのじんこうは1000まんにんです <br>The population of this country is 10 million people.
[sound:s-0046_日本人は礼儀正しいです。.mp3]	<b>日本人</b> <br> 日本人は礼儀正しいです。<br> にほんじんはれいぎただしいです <br>Japanese people are polite.
[sound:s-0047_街には人々が集まっています。.mp3]	<b>人々</b> <br> 街には人々が集まっています。<br> まちにはひとびとがあつまっています <br>People are gathering in the town.
[sound:s-0048_二人で映画を見に行きました。.mp3]	<b>二人</b> <br> 二人で映画を見に行きました。<br> ふたりでえいがをみにいきました <br>We went to see a movie with two people.
[sound:s-0049_裁判に証人として呼ばれました。.mp3]	<b>証人</b> <br> 裁判に証人として呼ばれました。<br> さいばんにしょうにんとしてよばれました <br>I was called as a witness in court.
